time,network speed test ping (s),jitter (s),upload (bit/s),download (bit/s),charmhub resource download mean (s),min (s),max (s),
2024-12-20T08:07:21+0000,39.45,0.8,5487.44,550.49,32.886,24.71,37.87,
2024-12-20T08:39:34+0000,39.55,4.83,843.51,697.66,30.152,23.6,38.56,
2024-12-20T09:09:22+0000,89.18,0.71,685.24,713.35,60.388,27.55,87.69,
2024-12-20T09:36:13+0000,24.18,0.02,1231.52,327.65,29.31,25.47,34.76,
2024-12-20T10:07:45+0000,24.55,0.67,647.66,422.34,39.254000000000005,23.09,69.43,
2024-12-20T10:39:59+0000,90.36,1.58,295.2,708.85,39.513999999999996,36.15,47.22,
2024-12-20T11:06:20+0000,66,34.19,5542.61,565.02,30.284,23.76,47.0,
2024-12-20T11:35:22+0000,24.18,0.38,455.03,370.02,25.95,23.08,34.72,
2024-12-20T12:07:45+0000,33.27,3.18,1172.12,217.14,27.084,24.67,32.75,
2024-12-20T12:47:43+0000,27,0.79,548.7,284.23,32.730000000000004,27.51,40.39,
2024-12-20T13:10:15+0000,54.91,44.14,5775.84,415.13,31.102,24.22,47.79,
2024-12-20T14:11:36+0000,96.91,5.36,918.45,759.75,437.924,78.85,1235.04,
2024-12-20T14:24:44+0000,54,7.1,153.7,55.94,248.994,27.17,685.39,
2024-12-20T14:37:30+0000,31.73,1.66,5915.08,169.76,28.406,24.1,35.65,
2024-12-20T15:06:18+0000,88.64,0.94,558.01,742.24,29.224,26.07,32.34,
2024-12-20T15:37:00+0000,35.36,2.9,375.84,39.68,35.942,23.33,41.52,
2024-12-20T16:07:24+0000,44.73,6.65,5790.97,607.17,37.002,28.33,49.38,
2024-12-20T16:39:06+0000,26.91,1.18,968.88,895.18,23.476,21.02,25.78,
2024-12-20T17:05:52+0000,37.55,3.01,7925.87,532.27,26.87,24.67,32.73,
2024-12-20T17:36:21+0000,21.45,0.65,4531.5,536.76,28.044,23.61,32.06,
2024-12-20T18:07:36+0000,38.09,2.52,163.38,190.89,35.836,23.03,79.24,
2024-12-20T18:42:58+0000,90.82,2.47,579.66,494.11,60.768,30.48,82.29,
2024-12-20T19:06:21+0000,22.73,0.71,5554.55,119.57,33.7,29.79,38.93,
2024-12-20T19:36:10+0000,23.64,0.98,132.82,274.75,34.202,29.8,40.88,
2024-12-20T20:06:53+0000,30.55,4.96,4926.25,661.03,33.886,23.53,51.54,
2024-12-20T20:36:19+0000,25.45,0.61,1089.98,244.62,29.248,23.31,45.96,
2024-12-20T21:05:58+0000,57.18,19.65,7165.59,455.99,27.992,23.59,43.07,
2024-12-20T21:35:43+0000,100.36,58.06,5457.82,333.05,30.072,22.29,45.97,
2024-12-20T22:05:52+0000,23.45,1.14,6005.48,369.42,27.27,22.38,34.16,
2024-12-20T22:39:05+0000,24.55,0.18,835.13,440.6,49.482,26.29,109.24,
2024-12-20T23:07:13+0000,23,0.26,6315.36,281.84,38.296,26.06,72.37,
2024-12-20T23:35:35+0000,54.18,32.45,8066.81,602.59,28.122,23.22,33.14,
2024-12-21T00:13:47+0000,32.91,19.43,8643.52,168.79,27.07,22.99,36.29,
2024-12-21T00:50:07+0000,29.73,1.65,798.8,659.46,25.684,22.61,30.1,
2024-12-21T02:51:36+0000,215.27,32.63,392.28,92.88,559.148,40.66,1253.88,
2024-12-21T03:20:15+0000,98.27,10.63,109.39,244.4,170.3,20.91,746.48,
2024-12-21T03:37:41+0000,28.91,7.5,8163.3,965.92,27.291999999999998,22.23,33.8,
2024-12-21T04:06:26+0000,23.73,0.49,923.68,549.35,25.114,21.96,28.63,
2024-12-21T04:37:32+0000,23.73,2.33,7145.5,461.04,26.978,20.93,31.05,
2024-12-21T05:05:44+0000,35.91,7.12,5782.85,759.7,24.258,22.88,25.69,
2024-12-21T05:36:42+0000,89.91,1.21,754.99,745.75,29.586,24.27,40.75,
2024-12-21T06:06:48+0000,47.09,17.63,5645.14,682.95,28.222,22.61,33.71,
2024-12-21T06:40:08+0000,88.55,0.95,916.3,847.58,34.368,27.48,49.95,
2024-12-21T07:05:44+0000,27.91,5.19,7456.84,557.55,24.900000000000002,21.73,28.44,
2024-12-21T07:36:18+0000,25.55,1.11,1221.7,895.01,38.328,28.34,54.4,
2024-12-21T08:06:45+0000,47.64,17.92,5030.34,464.41,28.234,22.66,36.43,
